Time,Info_USB
2024/11/20 18:26,Bus 001 Device 001: ID 1d6b:0002
2024/11/19 18:47,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 046d:c52f Logitech, Inc. Nano Receiver
Bus 001 Device 003: ID 13d3:5476 IMC Networks HD Camera
Bus 001 Device 004: ID 8087:0aaa Intel Corp. Bluetooth 9460/9560 Jefferson Peak (JfP)
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/19 21:48,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 046d:c52f Logitech, Inc. Nano Receiver
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 003 Device 002: ID 0c45:c077 Microdia IROK HE3 SE
Bus 003 Device 004: ID 8087:0029 Intel Corp. AX200 Bluetooth
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 005 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 005 Device 002: ID 30c9:0057 Luxvisions Innotech Limited Integrated RGB Camera
Bus 006 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 007 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 008 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 009 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 010 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/12/17 17:08,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 05e3:0610 Genesys Logic, Inc. Hub
Bus 001 Device 003: ID 0b05:19af ASUSTek Computer, Inc. AURA LED Controller
Bus 001 Device 007: ID 05e3:0608 Genesys Logic, Inc. Hub
Bus 001 Device 009: ID 05e3:0608 Genesys Logic, Inc. Hub
Bus 001 Device 010: ID 05a3:9230 ARC International Camera
Bus 001 Device 011: ID 8087:0033 Intel Corp. AX211 Bluetooth
Bus 001 Device 012: ID 1a40:0101 Terminus Technology Inc. Hub
Bus 001 Device 013: ID 2304:5220 Pinnacle Systems, Inc. KS1A522
Bus 001 Device 016: ID 17ef:60ee Lenovo TrackPoint Keyboard II
Bus 001 Device 017: ID 047d:80d6 Kensington Kensington SlimBlade Pro Trackball(2.4GHz Receiver)
Bus 001 Device 018: ID 0bda:2173 Realtek Semiconductor Corp. BillBoard Device
Bus 001 Device 021: ID 03e7:2485 Intel Movidius MyriadX
Bus 001 Device 033: ID 17ef:3073 Lenovo USB2.0 Hub             
Bus 001 Device 034: ID 2109:0102 VIA Labs, Inc. USB 2.0 BILLBOARD             
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 002 Device 002: ID 05e3:0625 Genesys Logic, Inc. USB3.2 Hub
Bus 002 Device 004: ID 0bda:8153 Realtek Semiconductor Corp. RTL8153 Gigabit Ethernet Adapter
Bus 002 Device 020: ID 17ef:3072 Lenovo USB3.0 Hub             
Bus 002 Device 028: ID 2d95:6013 vivo iQOO 13
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/21 9:56,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 05e3:0610 Genesys Logic, Inc. Hub
Bus 001 Device 003: ID 8087:0029 Intel Corp. AX200 Bluetooth
Bus 001 Device 004: ID 093a:2510 Pixart Imaging, Inc. Optical Mouse
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 002 Device 002: ID 05e3:0620 Genesys Logic, Inc. GL3523 Hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 003 Device 002: ID 2b7e:b663 SunplusIT Inc HD Webcam
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 005 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 006 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 007 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 008 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/12/13 19:28,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 062a:5918 MosArt Semiconductor Corp. 2.4G Keyboard Mouse
Bus 001 Device 003: ID 24ae:4005 Shenzhen Rapoo Technology Co., Ltd. Rapoo Gaming Keyboard
Bus 001 Device 004: ID 8087:0a2b Intel Corp. Bluetooth wireless interface
Bus 001 Device 005: ID 04f2:b604 Chicony Electronics Co., Ltd Integrated Camera (1280x720@30)
Bus 001 Device 008: ID 06cb:009a Synaptics, Inc. Metallica MIS Touch Fingerprint Reader
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 002 Device 002: ID 0bda:0316 Realtek Semiconductor Corp. Card Reader"
2024/11/19 23:35,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 1c4f:0034 SiGma Micro XM102K Optical Wheel Mouse
Bus 001 Device 003: ID 04f2:b729 Chicony Electronics Co., Ltd Chicony USB2.0 Camera
Bus 001 Device 004: ID 8087:0026 Intel Corp. AX201 Bluetooth
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/24 8:55,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 8087:0024 Intel Corp. Integrated Rate Matching Hub
Bus 001 Device 003: ID 0bda:0129 Realtek Semiconductor Corp. RTS5129 Card Reader Controller
Bus 002 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 002 Device 002: ID 8087:0024 Intel Corp. Integrated Rate Matching Hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 003 Device 002: ID 09da:0024 A4Tech Co., Ltd. A4tech 2.4G Wireless Device
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/19 20:22,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 002 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 004 Device 001: ID 1d6b:0001 Linux Foundation 1.1 root hub
Bus 005 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 005 Device 002: ID 13d3:3548 IMC Networks Bluetooth Radio
Bus 006 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/19 18:23,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 003 Device 002: ID 1a2c:7fff China Resource Semico Co., Ltd 2.4G Wireless Device
Bus 003 Device 003: ID 046d:c09d Logitech, Inc. G102 LIGHTSYNC Gaming Mouse
Bus 003 Device 004: ID 1bcf:2d06 Sunplus Innovation Technology Inc. XiaoMi USB 2.0 Webcam
Bus 003 Device 005: ID 1a86:03aa QinHeng Electronics 
Bus 003 Device 006: ID 0cb8:c559 Opticis Co., Ltd Bluetooth Radio
Bus 003 Device 008: ID 256c:006d GAOMON GAOMON Tablet_GM116HD V2
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/19 19:30,"Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 003 Device 003: ID 093a:2510 Pixart Imaging, Inc. Optical Mouse
Bus 003 Device 004: ID 33a7:2388 Jiangxi OMS Microelectronics Co.,Ltd. fingerprint module
Bus 003 Device 005: ID 30c9:008c Luxvisions Innotech Limited Integrated Camera
Bus 003 Device 006: ID 8087:0033 Intel Corp. AX211 Bluetooth
Bus 003 Device 007: ID 1ea7:0907 SHARKOON Technologies GmbH Keyboard
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub"
2024/11/19 18:26,"Bus 001 Device 005: ID 0cf2:7750 ENE Technology, Inc. 6K7750"
2024/11/19 21:48,"Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 001 Device 008: ID 0b95:1790 ASIX Electronics Corp. AX88179 Gigabit Ethernet
Bus 001 Device 009: ID 248a:8514 Maxxter 
Bus 001 Device 007: ID 1a40:0101 Terminus Technology Inc. Hub
Bus 001 Device 006: ID 05e3:0608 Genesys Logic, Inc. Hub
Bus 001 Device 004: ID 05e3:0610 Genesys Logic, Inc. 4-port hub
Bus 001 Device 003: ID 5986:118c Bison Electronics Inc. 
Bus 001 Device 002: ID 06cb:0126 Synaptics, Inc. 
Bus 001 Device 005: ID 8087:0033 Intel Corp. AX211 Bluetooth
Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub"
2024/11/19 18:48,Bus 003 Device 003: ID 8087:0037 Intel Corp.
2024/11/20 14:06,"Bus 003 Device 004: ID 06cb:00da Synaptics, Inc. 
# Synaptics Fingerprint Scanner
Bus 002 Device 009: ID 2537:1081 Norelsys NS1081
# Norelsys SD Card Reader"
2024/11/20 9:29,"Bus 004 Device 002: ID 2109:0820 VIA Labs, Inc. 
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 003 Device 007: ID 3554:f54f  
Bus 003 Device 004: ID 12d1:10a2 Huawei Technologies Co., Ltd. 
Bus 003 Device 003: ID 12d1:109b Huawei Technologies Co., Ltd. 
Bus 003 Device 002: ID 2109:2820 VIA Labs, Inc. 
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 002 Device 003: ID 0bda:8153 Realtek Semiconductor Corp. RTL8153 Gigabit Ethernet Adapter
Bus 002 Device 002: ID 2109:0820 VIA Labs, Inc. 
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 001 Device 002: ID 2109:2820 VIA Labs, Inc. 
Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub"
2024/11/21 21:41,"Bus 005 Device 004: ID 048d:c103 Integrated Technology Express, Inc. ITE Device(8910)"
2024/12/26 14:22,"Bus 009 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 010 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 008 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 007 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 006 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 005 Device 002: ID 13d3:784b IMC Networks XHC Camera
Bus 005 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 004 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 003 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 001 Device 003: ID 27c6:6014 Shenzhen Goodix Technology Co.,Ltd. Goodix USB2.0 MISC
Bus 001 Device 002: ID 0e8d:0608 MediaTek Inc. Wireless_Device
Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub"
2024/11/20 18:01,"irort@gentoo ~ $ lsusb 
Bus 001 Device 001: ID 1d6b:0002 Linux Foundation 2.0 root hub
Bus 001 Device 002: ID 0bc2:ab44 Seagate RSS LLC Backup Plus Hub
Bus 001 Device 003: ID 046d:c08b Logitech, Inc. G502 SE HERO Gaming Mouse
Bus 001 Device 004: ID 04f2:b685 Chicony Electronics Co., Ltd Chicony USB2.0 Camera
Bus 001 Device 005: ID 8087:0029 Intel Corp. AX200 Bluetooth
Bus 002 Device 001: ID 1d6b:0003 Linux Foundation 3.0 root hub
Bus 002 Device 002: ID 0bc2:ab45 Seagate RSS LLC Backup+ Hub
Bus 002 Device 003: ID 0bc2:ab38 Seagate RSS LLC Backup Plus Hub (Mass Storage)"
